scale,V,seed,strategy,total_time,energy,success_nodes,fail_nodes,skipped_nodes,collected_value
100,5000.0,1004,Baseline,4172.331106209722,2503.910208425869,100,0,0,140.0
100,5000.0,1004,Lyapunov,1149.316120409398,690.1012169456767,71,29,14,107.0
100,10000.0,1000,Baseline,3732.4568018784307,2239.9856258270893,100,0,0,140.0
100,10000.0,1000,Lyapunov,1228.9871333415233,737.9038247049514,70,30,14,106.0
100,10000.0,1001,Baseline,3337.499385375428,2003.0111759252857,100,0,0,140.0
100,10000.0,1001,Lyapunov,1090.3398763208365,654.7154704925397,74,26,15,110.0
100,10000.0,1002,Baseline,3999.441217566154,2400.1762752397267,100,0,0,140.0
100,10000.0,1002,Lyapunov,1082.8945657916406,650.2482841750224,64,36,25,84.0
100,10000.0,1003,Baseline,4280.232370945678,2568.6509672674506,100,0,0,140.0
100,10000.0,1003,Lyapunov,1035.0589145164051,621.5468934098805,59,41,32,87.0
100,10000.0,1004,Baseline,4172.331106209722,2503.910208425869,100,0,0,140.0
100,10000.0,1004,Lyapunov,1149.316120409398,690.1012169456767,71,29,14,107.0
100,50000.0,1000,Baseline,3732.4568018784307,2239.9856258270893,100,0,0,140.0
100,50000.0,1000,Lyapunov,1228.9871333415233,737.9038247049514,70,30,14,106.0
100,50000.0,1001,Baseline,3337.499385375428,2003.0111759252857,100,0,0,140.0
100,50000.0,1001,Lyapunov,1090.3398763208365,654.7154704925397,74,26,15,110.0
100,50000.0,1002,Baseline,3999.441217566154,2400.1762752397267,100,0,0,140.0
100,50000.0,1002,Lyapunov,1082.8945657916406,650.2482841750224,64,36,25,84.0
100,50000.0,1003,Baseline,4280.232370945678,2568.6509672674506,100,0,0,140.0
100,50000.0,1003,Lyapunov,1035.0589145164051,621.5468934098805,59,41,32,87.0
100,50000.0,1004,Baseline,4172.331106209722,2503.910208425869,100,0,0,140.0
100,50000.0,1004,Lyapunov,1149.316120409398,690.1012169456767,71,29,14,107.0
100,100000.0,1000,Baseline,3732.4568018784307,2239.9856258270893,100,0,0,140.0
100,100000.0,1000,Lyapunov,1228.9871333415233,737.9038247049514,70,30,14,106.0
100,100000.0,1001,Baseline,3337.499385375428,2003.0111759252857,100,0,0,140.0
100,100000.0,1001,Lyapunov,1090.3398763208365,654.7154704925397,74,26,15,110.0
100,100000.0,1002,Baseline,3999.441217566154,2400.1762752397267,100,0,0,140.0
100,100000.0,1002,Lyapunov,1082.8945657916406,650.2482841750224,64,36,25,84.0
100,100000.0,1003,Baseline,4280.232370945678,2568.6509672674506,100,0,0,140.0
